Tweet_lemmatized
"['maialanai', 'blessed']"
"['add', 'voice', 'conversation', 'timeline', 'lists\n\nyou', 'now\n👉', 'make', 'list\n👉', 'discover', 'lists\n👉', 'f…', 'httpstcociassstfrj']"
"['tweet', 'audio', 'rolling', 'io', 'thing', 'httpstcoczvqcfow']"
"['tweet', 'tweet', 'tweet', 'voice\n\nrolling', 'today', 'io', 'record', 'tweet', 'wi…', 'httpstcogwnatts']"
"['stay', 'loud']"
"['rt', 'blackbird', 'power', 'healing\ntheres', 'power', 'voices\ntheres', 'power', 'platforms\n\nweve', 'curated', 'thread', 'thread', '…']"
"['rt', 'jack', 'twitter', 'square', 'making', 'juneteenth', 'june', 'company', 'holiday', 'forevermore', 'day', 'celebration', 'educa…']"
"['rt', 'twitteropen', 'bold\nwe', 'brave\nwe', 'empowered\n\nwe', 'alwaysproud', 'httpstcolvqzqlws']"
"['rt', 'blackbird', 'find', 'collection', 'resource', 'advice', 'designed', 'support', 'mental', 'health…']"
"['rt', 'twittersupport', 'follow', 'happening', 'real', 'time', 'tap', '✨', 'located', 'home', 'timeline', 'change', 'seeing…']"
"['rt', 'twittertogether', 'racism', 'adhere', 'social', 'distancing\n\namid', 'growing', 'fear', 'uncertainty', 'pandemic', 'this…']"
"['aishadiallo', 'draft', 'called', 'draft', 'reason']"
"['myrabenitez', 'idaho']"
['raychjackson']
"['bertybrates', 'httpstcooyesrsrf']"
"['brandyljensen', 'shortcut', 'life', 'shortcut', 'twitter']"
"['nasa', 'date']"
"['nasa', 'sooo', 'mar', '🥺👉👈']"
"['nasa', 'hows', 'wifi', 'whats', 'favorite', 'space', 'snack']"
"['nasa', 'tweeting', 'earth', 'whats']"
['nasa']
"['reply', 'app']"
"['testing', 'testing\n\na', 'convo', 'starting', 'small', '', 'globally', 's…', 'httpstcognxtkzvba']"
['gracespelman']
"['wildflowersafi', 'harry', 'timeline', 'takeover']"
"['laonair', 'felt']"
"['charisesowells', 'international', 'fee']"
"['alexisscorner', 'correct']"
"['murdeeezy', 'love', 'book']"
"['debusscherelea', 'wine', 'cork']"
"['coplimited', 'generous']"
"['jweber', 'pour']"
"['japaman', 'mind']"
['tamudabianca']
"['lebrawngainz', 'envelope', 'wine']"
"['chadfelixg', 'head']"
"['wineoperator', 'wine']"
"['gguksbubbletea', 'case', 'closed']"
"['planet', 'perfect', 'pairing']"
"['fiameemperor', 'day']"
"['seasnal', 'dinner']"
"['bubiboy', 'httpstcoapzwtiwx']"
"['jaredbrecher', 'house', 'wine']"
['wine']
"['miss', 'tweet', 'tweet', '\n\nnow', 'io', 'retweets', 'comment', 'place', 'httpstcooanjzfzcy']"
['frankykilungu']
"['dnatural', 'httpstcofaxddbahjt']"
"['mayankchat', 'mom', 'time']"
"['dripdripwayne', 'lot', 'lot', 'tweet']"
"['akrabalrgiremez', 'celebrating', '', '', 'love', 'twitter']"
"['emple', 'hornet', 'mom']"
"['yinlane', 'wow', 'love']"
"['crimemma', 'father', 'day']"
['lifesleepyhead']
"['haydencbarnes', 'truth', 'recognizes', 'truth']"
"['glowzhan', 'deliver', 'mom']"
"['chairmanwuntumi', 'cuz']"
"['itsmenieb', 'cited', 'referenced']"
"['cancel', 'mother', 'day']"
"['ethguk', 'mom', 'twitter']"
"['palucreepern', 'birthed', 'talent']"
"['lazyguytm', 'bother', 'bother', 'bother', 'bother', 'bother', 'bother', 'bother']"
['vmiwn']
"['iiasiut', 'mom', 'fancam', 'incoming', 'prove']"
"['gguksbubbletea', '👀']"
"['fcbsiaaaa', 'gift', 'day']"
"['astonsmithsays', 'mother', 'day']"
"['pwidycynty', 'winner']"
"['notdecus', 'who', 'taught']"
"['mom', 'tweet', 'tweets\nhttpstconqhuiltfs']"
"['payformycoffee', 'secret']"
"['vellvet', 'add', 'proficient', 'multitasker', 'resume']"
"['getfiscal', 'live', 'life']"
"['ikonida', 'smiling', 'tweet']"
"['spongbobfacts', 'spongebob', 'fact', 'patrick', 'father', 'time']"
"['isxxctweets', 'dinner', 'breakfast']"
"['etherealbhatt', 'summertime', 'sadness']"
"['moonchildpjms', 'time', 'listen']"
"['goingsupernova', 'fundamental']"
"['desimojito', 'x', 'equal', 'time']"
"['malaytripathi', 'time', 'knowledge']"
"['innerchildughh', 'hold', 'consulting', 'sun']"
"['zkdlin', 'time']"
"['estherwuff', 'time', 'doesnt', 'exist']"
"['pabszn', 'define', 'fast']"
['eighty']
"['lighttophat', 'confirm', 'time', 'read']"
"['itsmenieb', 'dictionary']"
"['gxsnskzv', '']"
"['joonsarks', 'universe']"
['bubiboy']
['time']
"['orbitstruggle', 'httpstcovhgkacoh']"
"['imaustinrayce', 'hows', 'day']"
"['casey', 'httpstcokqskgtezq']"
"['charlidamelio', 'happy', 'birthday', 'check', 'mail', 'tomorrow', '👀']"
"['bigtza', 'httpstcotuvbsys']"
['seokjinsized']
"['farfromhc', 'find']"
"['zsilentavenger', 'empty', 'httpstconkkxklghk']"
['baggadaku']
"['yourlocalheroo', 'laughed']"
"['hanamlyaa', 'forcing', 'play', 'hard']"
"['seokjinsized', 'fix', 'manner', '☺️']"
"['chanelletime', 'figure', 'feel']"
"['diekox', 'excuse', 'excuse']"
"['klmnamjuun', 'worth', 'bro']"
"['highlighter', 'boom']"
"['vmiwn', 'fine', 'line', 'hate', 'love']"
['tochukwumazi']
"['lighthedarkness', 'tonight', 'night']"
"['nasasfenty', 'whats', '', 'respond']"
"['iamritsingh', 'yeah', 'unplug', 'router']"
"['dm', 'fine', 'responded']"
"['allurejimin', 'daydream']"
"['chimbootyy', 'dream', 'blackpink']"
"['gautmaxxmusic', 'wait', 'real']"
"['ajeeebsi', 'backstroke']"
"['njgov', 'pineapple', 'yn']"
"['jhopecena', 'dream']"
"['yotes', 'teeth', 'normal']"
"['aliyuuthman', 'let', 'recommend', 'keeping', 'limb', 'inside', 'bed']"
"['hananiuwu', 'subscribe', 'dream', 'channel']"
"['nmricksps', '', 'minute', 'tweet', 'wake']"
"['goldenlily', 'giant', 'chicken', 'nugget']"
"['queenarnice', 'wouldnt']"
['divsrk']
"['ahmedwaqas', 'act', 'dream']"
"['numangursoy', 'control', 'differently']"
"['floofdj', 'thing', 'private']"
"['aianac', 'stop']"
"['connorbroooks', 'hopping', 'back', 'dream']"
"['weird', 'dream']"
"['rt', 'avkyz', '“shared', 'tweet', 'you”', 'gtgtgtgtgt']"
